java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\String\shell.js -f mozilla\js\tests\ecma\String\15.5.4.5-4.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
15.5.4.5-4 String.prototype.charCodeAt(pos)
(String.fromCharCode(175)).charCodeAt(0) = 175 PASSED!
(String.fromCharCode(176)).charCodeAt(0) = 176 PASSED!
(String.fromCharCode(177)).charCodeAt(0) = 177 PASSED!
(String.fromCharCode(178)).charCodeAt(0) = 178 PASSED!
(String.fromCharCode(179)).charCodeAt(0) = 179 PASSED!
(String.fromCharCode(180)).charCodeAt(0) = 180 PASSED!
(String.fromCharCode(181)).charCodeAt(0) = 181 PASSED!
(String.fromCharCode(182)).charCodeAt(0) = 182 PASSED!
(String.fromCharCode(183)).charCodeAt(0) = 183 PASSED!
(String.fromCharCode(184)).charCodeAt(0) = 184 PASSED!
(String.fromCharCode(185)).charCodeAt(0) = 185 PASSED!
(String.fromCharCode(186)).charCodeAt(0) = 186 PASSED!
(String.fromCharCode(187)).charCodeAt(0) = 187 PASSED!
(String.fromCharCode(188)).charCodeAt(0) = 188 PASSED!
(String.fromCharCode(189)).charCodeAt(0) = 189 PASSED!
(String.fromCharCode(190)).charCodeAt(0) = 190 PASSED!
(String.fromCharCode(191)).charCodeAt(0) = 191 PASSED!
(String.fromCharCode(192)).charCodeAt(0) = 192 PASSED!
(String.fromCharCode(193)).charCodeAt(0) = 193 PASSED!
(String.fromCharCode(194)).charCodeAt(0) = 194 PASSED!
(String.fromCharCode(195)).charCodeAt(0) = 195 PASSED!
(String.fromCharCode(196)).charCodeAt(0) = 196 PASSED!
(String.fromCharCode(197)).charCodeAt(0) = 197 PASSED!
(String.fromCharCode(198)).charCodeAt(0) = 198 PASSED!
(String.fromCharCode(199)).charCodeAt(0) = 199 PASSED!
(String.fromCharCode(200)).charCodeAt(0) = 200 PASSED!
(String.fromCharCode(201)).charCodeAt(0) = 201 PASSED!
(String.fromCharCode(202)).charCodeAt(0) = 202 PASSED!
(String.fromCharCode(203)).charCodeAt(0) = 203 PASSED!
(String.fromCharCode(204)).charCodeAt(0) = 204 PASSED!
(String.fromCharCode(205)).charCodeAt(0) = 205 PASSED!
(String.fromCharCode(206)).charCodeAt(0) = 206 PASSED!
(String.fromCharCode(207)).charCodeAt(0) = 207 PASSED!
(String.fromCharCode(208)).charCodeAt(0) = 208 PASSED!
(String.fromCharCode(209)).charCodeAt(0) = 209 PASSED!
(String.fromCharCode(210)).charCodeAt(0) = 210 PASSED!
(String.fromCharCode(211)).charCodeAt(0) = 211 PASSED!
(String.fromCharCode(212)).charCodeAt(0) = 212 PASSED!
(String.fromCharCode(213)).charCodeAt(0) = 213 PASSED!
(String.fromCharCode(214)).charCodeAt(0) = 214 PASSED!
(String.fromCharCode(215)).charCodeAt(0) = 215 PASSED!
(String.fromCharCode(216)).charCodeAt(0) = 216 PASSED!
(String.fromCharCode(217)).charCodeAt(0) = 217 PASSED!
(String.fromCharCode(218)).charCodeAt(0) = 218 PASSED!
(String.fromCharCode(219)).charCodeAt(0) = 219 PASSED!
(String.fromCharCode(220)).charCodeAt(0) = 220 PASSED!
(String.fromCharCode(221)).charCodeAt(0) = 221 PASSED!
